n,noise_model,seed,p_noise,q_eve,qber,n_sifted,n_errors
30000,depolarizing,1,0.08,0.4,0.13509337632674998,14886,2011
30000,depolarizing,1,0.08,0.45,0.14375923686685477,14886,2140
30000,depolarizing,1,0.08,0.5,0.15208921133951364,14886,2264
30000,depolarizing,1,0.08,0.55,0.15732903399167003,14886,2342
30000,depolarizing,1,0.08,0.6000000000000001,0.1807067042859062,14886,2690
30000,depolarizing,1,0.08,0.65,0.19138788123068656,14886,2849
30000,depolarizing,1,0.08,0.7000000000000001,0.2036813112992073,14886,3032
30000,depolarizing,1,0.08,0.75,0.20959290608625555,14886,3120
30000,depolarizing,1,0.08,0.8,0.22134891844686283,14886,3295
30000,depolarizing,1,0.08,0.8500000000000001,0.23431412065027543,14886,3488
30000,depolarizing,1,0.08,0.9,0.2502351202472122,14886,3725
30000,depolarizing,1,0.08,0.9500000000000001,0.26534999328227865,14886,3950
30000,depolarizing,1,0.08,1.0,0.26803708182184605,14886,3990
30000,depolarizing,1,0.09,0.0,0.04353083434099154,14886,648
30000,depolarizing,1,0.09,0.05,0.05770522638720946,14886,859
30000,depolarizing,1,0.09,0.1,0.07127502351202472,14886,1061
30000,depolarizing,1,0.09,0.15000000000000002,0.07967217519817278,14886,1186
30000,depolarizing,1,0.09,0.2,0.09398092167136907,14886,1399
30000,depolarizing,1,0.09,0.25,0.1016391240091361,14886,1513
30000,depolarizing,1,0.09,0.30000000000000004,0.11480585785301625,14886,1709
30000,depolarizing,1,0.09,0.35000000000000003,0.12864436383178826,14886,1915
30000,depolarizing,1,0.09,0.4,0.13878812306865512,14886,2066
30000,depolarizing,1,0.09,0.45,0.14846164181109767,14886,2210
30000,depolarizing,1,0.09,0.5,0.15632137578933225,14886,2327
30000,depolarizing,1,0.09,0.55,0.1622329705763805,14886,2415
30000,depolarizing,1,0.09,0.6000000000000001,0.18426709660083299,14886,2743
30000,depolarizing,1,0.09,0.65,0.19447803305118905,14886,2895
30000,depolarizing,1,0.09,0.7000000000000001,0.20704017197366653,14886,3082
30000,depolarizing,1,0.09,0.75,0.21248152626629047,14886,3163
30000,depolarizing,1,0.09,0.8,0.22497648797527878,14886,3349
30000,depolarizing,1,0.09,0.8500000000000001,0.23693403197635363,14886,3527
30000,depolarizing,1,0.09,0.9,0.25319091764073626,14886,3769
30000,depolarizing,1,0.09,0.9500000000000001,0.2677683729678893,14886,3986
30000,depolarizing,1,0.09,1.0,0.2703882842939675,14886,4025
30000,depolarizing,1,0.1,0.0,0.04803170764476689,14886,715
30000,depolarizing,1,0.1,0.05,0.061601504769582156,14886,917
30000,depolarizing,1,0.1,0.1,0.07597742845626763,14886,1131
30000,depolarizing,1,0.1,0.15000000000000002,0.08323256751309956,14886,1239
30000,depolarizing,1,0.1,0.2,0.0981459089076985,14886,1461
30000,depolarizing,1,0.1,0.25,0.10566975681848717,14886,1573
30000,depolarizing,1,0.1,0.30000000000000004,0.11816471852747548,14886,1759
30000,depolarizing,1,0.1,0.35000000000000003,0.133279591562542,14886,1984
30000,depolarizing,1,0.1,0.4,0.14261722423753861,14886,2123
30000,depolarizing,1,0.1,0.45,0.15255945183393793,14886,2271
30000,depolarizing,1,0.1,0.5,0.1600832997447266,14886,2383
30000,depolarizing,1,0.1,0.55,0.16545747682386133,14886,2463
30000,depolarizing,1,0.1,0.6000000000000001,0.18796184334273813,14886,2798
30000,depolarizing,1,0.1,0.65,0.19803842536611582,14886,2948
30000,depolarizing,1,0.1,0.7000000000000001,0.20992879215370147,14886,3125
30000,depolarizing,1,0.1,0.75,0.21698239957006582,14886,3230
30000,depolarizing,1,0.1,0.8,0.2284025258632272,14886,3400
