n,seed,p_noise,q_eve,qber,n_sifted,n_errors
50000,1,0.05,0.1,0.04698415232924833,25051,1177
50000,1,0.05,0.15000000000000002,0.05971817492315676,25051,1496
50000,1,0.05,0.2,0.07265179034769072,25051,1820
50000,1,0.05,0.25,0.08402858169334558,25051,2105
50000,1,0.05,0.30000000000000004,0.09628358149375274,25051,2412
50000,1,0.05,0.35000000000000003,0.10861841842641012,25051,2721
50000,1,0.05,0.4,0.11939643128018841,25051,2991
50000,1,0.05,0.45,0.13244980240309767,25051,3318
50000,1,0.05,0.5,0.14139156121512114,25051,3542
50000,1,0.05,0.55,0.15695980200391202,25051,3932
50000,1,0.05,0.6000000000000001,0.16821683765119158,25051,4214
50000,1,0.05,0.65,0.18075126741447448,25051,4528
50000,1,0.05,0.7000000000000001,0.18753742365574227,25051,4698
50000,1,0.05,0.75,0.20426330286216118,25051,5117
50000,1,0.05,0.8,0.22110893776695542,25051,5539
50000,1,0.05,0.8500000000000001,0.225140712945591,25051,5640
50000,1,0.05,0.9,0.23719611991537265,25051,5942
50000,1,0.05,0.9500000000000001,0.2492116083190292,25051,6243
50000,1,0.05,1.0,0.25791385573430203,25051,6461
50000,1,0.06,0.0,0.03045786595345495,25051,763
50000,1,0.06,0.05,0.0400782403896052,25051,1004
50000,1,0.06,0.1,0.0508961718095086,25051,1275
50000,1,0.06,0.15000000000000002,0.06371003153566723,25051,1596
50000,1,0.06,0.2,0.0766835655263263,25051,1921
50000,1,0.06,0.25,0.08814019400423137,25051,2208
50000,1,0.06,0.30000000000000004,0.10071454233363937,25051,2523
50000,1,0.06,0.35000000000000003,0.11221108937766955,25051,2811
50000,1,0.06,0.4,0.123428206458824,25051,3092
50000,1,0.06,0.45,0.13628198475110773,25051,3414
50000,1,0.06,0.5,0.14514390643088101,25051,3636
50000,1,0.06,0.55,0.16055247295517144,25051,4022
50000,1,0.06,0.6000000000000001,0.17149016007345017,25051,4296
50000,1,0.06,0.65,0.18394475270448285,25051,4608
50000,1,0.06,0.7000000000000001,0.19073090894575068,25051,4778
50000,1,0.06,0.75,0.20713743962316875,25051,5189
50000,1,0.06,0.8,0.22370364456508723,25051,5604
50000,1,0.06,0.8500000000000001,0.22757574547922238,25051,5701
